indice_tiempo,t_delito_01_hechos,t_delito_02_hechos,t_delito_03_hechos,t_delito_04_hechos,t_delito_05_hechos,t_delito_06_hechos,t_delito_07_hechos,t_delito_08_hechos,t_delito_09_hechos,t_delito_10_hechos,t_delito_11_hechos,t_delito_12_hechos,t_delito_13_hechos,t_delito_14_hechos,t_delito_14_1_hechos,t_delito_14_2_hechos,t_delito_14_3_hechos,t_delito_15_hechos,t_delito_16_hechos,t_delito_17_hechos,t_delito_18_hechos,t_delito_19_hechos,t_delito_20_hechos,t_delito_21_hechos,t_delito_22_hechos,t_delito_22_1_hechos,t_delito_22_2_hechos,t_delito_22_3_hechos,t_delito_22_4_hechos,t_delito_22_5_hechos,t_delito_22_6_hechos,t_delito_22_7_hechos,t_delito_23_hechos,t_delito_24_hechos,t_delito_25_hechos,t_delito_26_hechos,t_delito_27_hechos,t_delito_28_hechos,t_delito_28_01_hechos,t_delito_28_02_hechos,t_delito_28_03_hechos,t_delito_28_04_hechos,t_delito_28_05_hechos,t_delito_28_06_hechos,t_delito_28_07_hechos,t_delito_28_08_hechos,t_delito_28_09_hechos,t_delito_28_10_hechos,t_delito_29_hechos,t_delito_29_1_hechos,t_delito_29_2_hechos,t_delito_29_3_hechos,t_delito_29_4_hechos,t_delito_29_5_hechos,t_delito_29_6_hechos,t_delito_29_7_hechos,t_delito_29_8_hechos,t_delito_30_hechos,t_delito_31_hechos,t_delito_32_hechos,t_delito_01_victimas,t_delito_02_victimas,t_delito_03_victimas,t_delito_04_victimas,t_delito_05_victimas,t_delito_06_victimas,t_delito_07_victimas,t_delito_08_victimas,t_delito_09_victimas,t_delito_10_victimas,t_delito_11_victimas,t_delito_14_victimas,t_delito_14_1_victimas,t_delito_14_2_victimas,t_delito_14_3_victimas,t_delito_31_victimas
2000,7.2270207,2.4080989,10.041009,2.882091,293.83163,148.2697,30.030409,57.837955,1.0133629,8.2349348,16.102118,.48488867,252.86671,42.572136,,,,873.47791,57.813438,40.368343,6.9219222,800.57843,31.141838,242.92105,14.02091,,,,,,,,4.2441378,.092619188,.23154797,27.540586,15.984982,43.569153,,,,,,,,,,,44.116695,,,,,,,,,355.17822,8.5236893,,7.6410828,2.5660963,11.705431,3.0482609,306.39243,168.57237,31.081909,60.019955,1.0433279,8.4637594,16.81583,42.572136,,,,9.3990049
2001,8.2166653,2.3899109,10.219023,1.6820883,316.89197,157.5242,23.971777,48.387623,1.0200183,8.8518209,15.617853,.26644278,291.5799,36.949425,,,,930.46393,53.552307,43.139507,5.6033726,818.49609,28.51207,226.97157,15.437533,,,,,,,,12.740809,.091505602,.29604754,31.386421,14.498256,41.349766,,,,,,,,,,,48.325722,,,,,,,,,545.83899,8.5234776,,8.4588852,2.6509712,11.67773,1.8247293,334.46106,184.58026,24.994486,51.041286,1.0980673,9.0886593,16.153431,36.949425,,,,9.3887501
2002,9.2133732,2.2960184,8.4649029,1.5688571,333.66049,142.57422,19.127272,45.139935,.78576034,8.0893364,15.37693,.58332717,304.30768,37.079899,,,,1127.9736,67.921661,47.694321,8.0307369,993.2677,36.792229,213.74547,13.848027,,,,,,,,3.3055208,.15715207,.42351151,32.842121,14.636452,41.307022,,,,,,,,,,,61.632912,,,,,,,,,314.93808,7.9002213,,9.5116959,2.4558342,9.45576,1.6540922,348.36087,163.15315,20.040884,47.254829,.82038707,8.2518158,15.973576,37.079899,,,,8.6973391
2003,7.5999737,2.446332,8.2379179,1.7530289,346.28253,149.41078,19.391399,43.519932,.86465186,9.0972977,17.092691,.51668221,309.04449,34.973587,,,,1037.4425,56.800774,43.633286,5.8416724,882.88336,29.181999,202.61852,13.006683,,,,,,,,2.6018639,.14762349,.35587806,34.604527,13.180669,40.538464,,,,,,,,,,,58.005486,,,,,,,,,343.00055,7.5393424,,7.8214087,2.5675943,9.3081884,1.81366,362.67401,171.03499,20.203329,45.444309,.8751964,9.281827,17.656824,34.973587,,,,8.2953911
2004,5.9066768,2.2854455,9.1470003,1.8680125,371.14227,168.84381,22.489201,43.590439,.99401224,9.0061159,18.056585,.40699714,340.3331,34.537361,,,,919.79791,56.009068,29.108124,4.5317569,826.74164,29.56469,202.85938,12.609085,,,,,,,,3.5220907,.15914632,.36525384,35.301785,13.016082,47.850864,,,,,,,,,,,58.758907,,,,,,,,,334.46555,7.4172621,,6.1075664,2.4289382,10.388863,2.0480306,388.2179,194.09068,23.300587,45.967197,1.0227108,9.2070055,18.659254,34.537361,,,,8.1564884
2005,5.4739642,2.3651657,8.890028,2.3109424,367.00092,188.66071,24.612183,40.879154,.81593055,8.1489773,17.692266,.21947499,338.99332,34.108994,,,,832.1123,53.621613,27.945621,3.8085365,755.13599,28.955206,207.20763,13.894057,,,,,,,,3.5400023,.095536172,.30984703,35.867378,14.015414,57.781307,,,,,,,,,,,65.408707,,,,,,,,,326.05978,6.9947968,,5.6882753,2.5252533,10.28434,2.4297173,385.5401,218.47832,25.657917,42.926723,.84949732,8.3219748,18.299049,34.116741,,,,7.696116
2006,5.256537,2.1363466,9.4423456,1.8986908,366.65942,214.37062,29.344101,44.832615,.91484702,8.3613949,18.79014,.42931366,348.43658,40.401482,,,,814.19592,53.820091,32.211304,4.5001273,717.10461,29.188219,212.77603,14.346231,,,,,,,,3.723274,.063885964,.47020069,37.667164,12.876855,62.741127,,,,,,,,,,,66.548729,,,,,,,,,372.54462,7.0172343,,5.3945308,2.2845621,11.054827,2.0366845,384.25363,245.88686,30.189951,46.971516,.95317858,8.6527147,19.633434,40.401482,,,,7.7079339
2007,5.237751,1.9726924,9.5751457,1.7223122,351.90302,245.46362,26.188755,57.160027,1.6186194,8.2979536,18.419382,.22761835,337.56308,64.226311,,,,838.95825,55.250561,32.364799,3.325757,628.50482,41.191334,201.08563,13.710212,,,,,,,,4.5903034,.28325838,1.9398142,33.530712,10.746116,59.782696,,,,,,,,,,,58.336056,,,,,,,,,337.16855,7.0005288,,5.4097295,2.0915596,11.036961,1.8386505,370.02652,281.17694,27.617693,60.07354,1.6439103,8.477519,18.932789,64.226311,,,,7.6852694
2008,5.7694583,2.4854975,10.004566,1.5443625,366.28674,264.35632,24.532085,73.426056,.6182456,8.4301672,17.506113,.31037432,357.21582,37.330021,,,,905.3819,62.865818,25.150331,3.7169828,682.88605,28.484352,216.91411,14.998088,,,,,,,,5.3214178,.09010867,.36043468,40.301105,8.9282675,75.098068,,,,,,,,,,,77.55854,,,,,,,,,288.70319,7.8269396,,5.9496756,2.5931275,11.398747,1.604435,386.36597,304.36206,25.868698,76.119301,.6432758,8.7455473,18.264528,37.335026,,,,8.5959301
2009,6.4803905,3.0519271,8.6281347,2.3211491,375.06995,245.82132,43.650978,72.079483,.84225255,10.865058,18.863981,.41617188,350.63223,23.721796,,,,911.55261,38.000454,20.31315,1.40458,673.45526,16.148954,226.44951,54.444199,,,,,,,,3.4780078,.10156576,.40626302,58.306175,10.399343,96.601418,,,,,,,,,,,72.508041,,,,,,,,,245.55626,7.6025681,,6.5522299,3.1163344,9.4728642,2.4524415,387.98364,285.34528,45.003536,73.610397,.87197912,10.971579,19.552647,23.763908,,,,8.3857269
2010,5.749176,2.9444609,8.7549286,1.730882,363.76962,235.05672,47.805195,73.790489,.5785951,10.488262,19.709009,.29174924,345.38452,25.534187,,,,913.79541,39.094398,16.960682,1.2479022,652.25079,16.386992,224.51207,54.044708,,,,,,,,3.0621412,.080905251,.38491285,58.511658,10.900144,97.405022,,,,,,,,,,,72.329292,,,,,,,,,239.26869,7.5217366,,5.8423395,3.0572379,9.7576637,1.8485624,379.25439,276.17621,49.631695,75.097237,.59820855,10.615749,20.760778,25.583221,,,,8.3107376
2011,5.9886351,3.4099593,9.1925907,2.2733061,400.24731,230.50792,58.613976,79.347595,.75615299,10.237148,20.517921,.21327393,381.13989,26.44112,,,,951.59192,38.24147,15.692598,1.3475034,639.09711,15.336334,225.91768,58.834522,,,,,,,,3.0803542,.10906053,.36838225,59.358013,9.9535913,94.945671,,,,,,,,,,,81.73481,,,,,,,,,221.63039,7.5203295,,6.0976954,3.6329274,10.089311,2.4865801,415.78964,273.27417,61.313831,80.556953,.77311796,10.418916,21.819376,26.484743,,,,8.3053198
2012,6.2971339,3.5846698,8.391386,2.6621447,396.63797,215.02269,63.163033,86.190224,1.0591071,10.337076,20.381819,.23003229,412.02618,25.437738,,,,1004.4048,40.804375,15.853059,1.7683733,655.32843,15.759608,228.7791,60.84354,,,,,,,,11.983245,1.0591071,.28514421,66.122307,18.464884,86.691025,,,,,,,,,,,71.058411,,,,,,,,,262.45728,7.2316403,,6.3642268,3.7404208,9.7667875,2.8538382,411.3313,254.60741,66.287636,73.78286,1.0375415,10.615032,21.261213,25.39221,,,,8.0578508
2013,7.4046984,3.7675104,9.3761253,2.1799431,382.44498,203.2489,66.902931,96.934013,1.4264411,10.139105,22.631128,.26538438,429.08154,22.71406,,,,1010.8302,42.14399,17.074642,1.5283297,640.50519,14.693291,232.44829,64.478928,,,,,,,,16.278488,.2085163,.45494467,72.073189,16.986971,84.252434,,,,,,,,,,,82.063011,,,,,,,,,246.30278,7.1037712,,7.5184345,3.9286368,10.977909,2.3908291,396.3895,242.08032,70.91687,91.808777,1.4430276,10.672243,24.187891,22.958118,,,,7.9500499
2014,7.504189,4.1622238,8.5002165,3.5060172,400.56949,186.26419,64.390259,116.12041,1.9826808,8.7837915,22.259459,.496842,433.19937,24.678049,,,,1050.6732,68.854805,20.396301,3.3091552,652.44263,26.806032,245.70477,18.68079,,,,,,,,35.587479,.21795428,1.3710027,66.497147,15.983314,72.173332,,,,,,,,,,,82.269539,,,,,,,,,259.15701,7.5979328,,7.6237125,4.5114193,10.86256,3.7192843,431.31042,221.97823,68.824333,119.2913,2.022522,9.2407923,24.331196,24.813976,,,,8.4677401
2015,6.4012847,3.7025902,8.441535,2.2419567,397.20889,194.82767,57.514187,103.87424,.9575265,7.9245172,28.547274,.33385912,433.77109,24.585014,,,,972.14441,65.858345,18.953461,2.4436634,603.89319,21.96051,241.95512,18.612646,,,,,,,,28.255146,.53324717,.9018833,76.024818,15.686742,72.908806,,,,,,,,,,,81.800117,,,,,,,,,217.08493,6.7583284,,6.5983543,3.9970355,10.038959,2.5062618,416.78833,225.494,60.018131,106.21357,.99925888,8.4994965,30.687218,24.721804,,,,7.501163
2016,5.980679,3.8058867,8.9905186,1.3351574,324.17941,215.68068,35.519314,125.89249,1.0690435,8.4353495,20.603176,.22940847,385.65631,28.125479,,,,964.86682,69.040482,21.22946,2.275732,609.97192,23.704779,232.13614,36.042366,,,,,,,,21.013817,.18352678,.9658097,85.580833,15.994359,80.880257,,,,,,,,,,,79.155098,0,.016058594,.0045881695,.057352118,.16517411,.0045881695,0,2.8813705,236.1485,6.8868427,.30281919,6.0288548,4.0765886,9.869153,1.3741568,338.01733,244.4485,36.535595,128.09251,1.0851021,8.6876993,21.394634,28.554474,,,,7.2729263
2017,5.0494032,3.6054189,9.5198498,1.3463562,322.65094,221.83998,40.551884,119.78483,1.0194163,8.5254087,25.054029,.17936279,405.49158,26.389034,.39278179,.038597055,25.957655,893.10632,66.069077,21.648407,2.6518447,573.97681,23.19002,236.22079,66.103134,.27926105,7.362956,3.8438127,.1657403,.0068112449,.19298528,54.251568,20.68121,.10216867,1.4258206,100.13438,21.550779,107.52232,.61982328,10.246383,.59711915,.10216867,.22023025,18.083855,48.882034,.1952557,2.9855957,25.589848,88.42131,.120332,1.7164338,.49495047,1.0943401,15.495583,.68112451,.0090816598,68.809471,367.57336,7.490099,1.75049,5.2514701,4.1049104,10.739063,1.575668,362.79416,256.14368,41.469131,121.76236,1.0443909,8.8977566,26.407196,28.337049,.74696654,.05903079,27.531052,8.1993322
2018,5.1287236,3.3981726,9.650631,1.2046432,307.55035,213.69382,39.247547,133.31085,1.2001482,9.4483585,28.897953,.40004942,397.04007,25.533491,.38656461,.051691778,25.095236,933.27484,65.201317,19.824921,2.9441841,621.97571,26.592049,246.40123,70.024384,.32813042,7.1087437,4.2095089,.10338356,.0089898752,.40004942,57.865578,16.325613,.19328231,2.0901458,94.150955,20.004719,138.22382,.49893805,13.390418,1.4496173,.044949375,.38881209,18.226971,64.47538,.27643865,2.0204744,37.451817,90.042587,.1146209,1.7687578,1.3574711,.74615961,11.900347,.38206968,.013484812,73.759674,401.87662,8.7696228,.53714502,5.3579655,3.8162019,10.794592,1.4181527,322.12744,249.75894,39.89257,137.28438,1.2316128,9.623661,29.844137,27.279776,.49669057,.067424059,26.71566,9.5764399
2019,4.9823413,3.5203502,8.1689034,.96798503,322.98434,206.80388,35.083336,119.23351,1.5554518,12.336802,36.629887,.26925561,413.19608,28.258488,.28705764,.040054552,27.931376,1051.777,63.595505,15.487761,3.1665349,743.27008,30.223385,279.35156,74.532623,.25812933,6.7981477,3.8697147,.14019093,.013351518,.28928289,63.163803,11.962959,.25812933,2.9395592,93.959076,24.297537,222.02907,1.8870145,14.762328,2.8883784,3.282248,.4628526,27.274925,119.32697,.23810206,1.2461417,50.660107,161.59341,.21139903,3.6071351,8.3202209,.81889307,57.422653,.49845666,.04450506,90.670158,331.14435,8.1154976,.7855143,5.1358838,4.0099058,9.3215847,1.2238891,343.15402,238.86755,35.8466,123.01643,1.6155336,12.521498,38.194241,30.345774,.39609501,.055631325,29.894047,8.849246
2020,5.1788621,3.4114377,6.0515556,1.0820516,299.98172,137.37207,22.910404,110.28552,1.6924962,12.583533,47.896763,.13222627,428.56958,27.88652,.40769765,.27767515,27.201147,740.95636,54.900345,8.8481407,2.9133854,509.3378,24.699867,275.24661,223.21777,.16528283,6.452642,3.6362224,.1300225,.013222626,.25563744,212.56474,8.8283072,1.5206021,2.1354542,133.22458,19.778847,129.963,2.1068051,11.069542,1.3883758,.15867153,.36802977,20.360641,70.386246,.14985643,.84184057,23.132986,135.44377,.039667882,2.5784123,4.1849613,.41871652,41.616013,.26004499,.013222626,86.332733,263.42117,7.1864977,.71842939,5.3309221,3.8676183,6.5738492,1.2781873,318.98926,160.13924,23.2586,113.46556,1.7365717,12.779669,52.888302,29.808208,.59722197,.28428647,28.926701,7.8293433
2021,4.4118214,3.2264581,7.5182147,1.0936776,342.29706,175.23291,29.540211,101.61597,1.7267444,15.104102,70.07177,.17245615,476.23001,30.581495,.3820231,.20956697,29.989906,808.72546,53.893639,11.729201,3.2242751,592.29736,25.003958,350.36322,108.0405,.27069065,6.1341996,3.1129427,.12443038,.021829892,.22703087,98.149376,7.7015858,.2444948,1.5280924,108.28718,23.130953,157.26909,2.429667,12.017356,1.9210305,.021829892,.44969577,18.321829,97.335121,.22921386,1.3600023,23.183346,154.74556,.11788142,3.5997491,8.6664667,.5697602,37.233063,.39948702,.015280925,104.14387,193.95859,7.9635444,1.4647857,4.5711794,3.6630559,8.3542995,1.414577,362.59015,206.52388,30.256229,104.07183,1.7704042,15.392257,77.803917,32.795048,.53701532,.21611594,32.041916,8.6630392
2022,4.0835013,2.8311989,8.1778173,1.2263482,363.34946,194.39241,30.165569,91.329414,1.3950522,15.276362,71.164963,.34605944,457.89505,31.032881,.71807337,.17951834,30.13529,858.50861,53.338577,12.326205,3.0345089,678.63776,26.828259,402.6272,72.406448,.28333619,5.6645608,2.9523196,.075700507,.11895794,.35471094,62.956867,6.7892537,.12112081,.66616446,85.541573,23.780773,167.43654,2.1671972,13.671512,2.3315756,.25089312,.49097186,22.770712,105.85526,.40661985,1.6848769,17.806921,141.91032,.70509613,3.7093248,7.3278089,.707259,33.511532,.85649717,.25954458,94.833267,160.72948,8.562809,.7764709,4.2349024,3.218353,9.0472918,1.5680819,383.40576,225.74324,30.561375,93.399284,1.4339838,15.488323,79.49202,33.158985,.91922045,.19465844,32.045105,9.3041182
2023,4.2782507,3.1893973,7.6476951,1.3460629,361.42001,190.888,32.603443,98.701988,1.6354235,13.689974,68.854973,.40510491,460.50784,32.644169,.49084139,.081449665,32.071877,975.83344,69.667328,10.32053,3.1486726,785.59491,36.890266,453.16449,72.738838,.14789544,5.2920847,2.797153,.17361639,.13932179,.29364747,63.895119,7.7762995,.027864359,.27864358,91.858078,24.235561,158.17953,2.3684704,14.905289,1.8111833,0,.28936064,21.873522,99.565788,.33008549,1.0759929,15.959847,136.51822,.092166729,3.3908782,6.083004,.2100544,38.362793,.96024871,.015003886,87.404068,162.79858,9.0130482,.68589193,4.3875647,3.5902154,8.4793386,1.7597414,379.84052,224.68318,33.098572,100.67822,1.6911522,13.874308,75.261635,34.208858,.94738823,.12003109,33.141441,9.7821798
2024,3.6840596,2.9871902,6.8093491,1.1749048,360.1434,189.9904,28.620512,103.21529,1.7910395,13.164034,57.787048,.25707683,434.69144,27.231022,.36968073,.059488855,26.801853,978.62988,75.040939,12.216461,3.0318069,799.90839,43.252647,498.13629,45.001194,.12322691,6.7413621,4.1705937,.38455296,.20183718,.31656569,33.063053,4.3044434,.14447293,.25070304,106.10686,22.378431,193.35577,2.0183718,17.028685,1.1812787,.002124602,.26769984,20.806227,123.71982,.28469667,1.270512,26.776358,143.40213,.14234833,2.8214715,4.0431175,.32506409,35.024063,1.2683873,.033993632,99.743683,182.40982,9.0189352,.70111865,3.8306572,3.596951,7.5189662,1.2726365,384.21725,228.78351,29.347126,105.32501,1.8377806,13.544337,64.201218,29.959011,.62463295,.059488855,29.274889,9.7869473
